iter	Passed	Remaining
0	162	162325
1	168	84178
2	175	58354
3	181	45283
4	189	37767
5	196	32620
6	203	28877
7	210	26050
8	217	23927
9	224	22184
10	231	20843
11	238	19677
12	245	18669
13	253	17828
14	260	17099
15	268	16514
16	276	15989
17	283	15444
18	290	14985
19	297	14571
20	303	14151
21	310	13805
22	317	13476
23	324	13192
24	332	12951
25	338	12692
26	345	12457
27	352	12238
28	359	12038
29	366	11849
30	373	11683
31	381	11525
32	388	11387
33	396	11267
34	404	11152
35	412	11052
36	420	10947
37	428	10839
38	435	10743
39	443	10652
40	451	10563
41	460	10494
42	469	10437
43	476	10362
44	485	10293
45	493	10226
46	501	10164
47	509	10101
48	517	10050
49	526	10004
50	534	9942
51	542	9886
52	550	9838
53	558	9787
54	566	9733
55	574	9679
56	581	9621
57	588	9565
58	596	9509
59	603	9455
60	611	9408
61	617	9348
62	625	9306
63	632	9257
64	640	9207
65	647	9162
66	654	9115
67	662	9073
68	669	9036
69	677	8999
70	685	8965
71	691	8916
72	700	8894
73	708	8866
74	716	8836
75	725	8819
76	733	8793
77	741	8770
78	750	8747
79	758	8722
80	766	8699
81	775	8683
82	783	8657
83	791	8626
84	799	8603
85	807	8580
86	815	8562
87	824	8545
88	832	8521
89	840	8496
90	848	8471
91	856	8457
92	865	8438
93	872	8413
94	880	8389
95	889	8377
96	897	8355
97	905	8337
98	914	8318
99	922	8305
100	931	8288
101	939	8269
102	947	8248
103	955	8229
104	963	8209
105	970	8189
106	978	8163
107	985	8142
108	992	8116
109	1000	8098
110	1008	8074
111	1015	8051
112	1022	8026
113	1029	8003
114	1037	7982
115	1044	7957
116	1051	7933
117	1057	7905
118	1065	7884
119	1072	7865
120	1080	7845
121	1086	7821
122	1093	7799
123	1101	7782
124	1108	7759
125	1116	7743
126	1124	7729
127	1131	7711
128	1139	7690
129	1146	7675
130	1154	7655
131	1161	7638
132	1168	7620
133	1175	7599
134	1183	7580
135	1189	7558
136	1197	7541
137	1203	7518
138	1210	7498
139	1217	7477
140	1224	7458
141	1231	7440
142	1237	7419
143	1244	7400
144	1251	7379
145	1258	7363
146	1265	7344
147	1272	7325
148	1280	7311
149	1286	7292
150	1294	7278
151	1301	7258
152	1307	7237
153	1314	7219
154	1320	7200
155	1327	7183
156	1334	7165
157	1341	7150
158	1348	7130
159	1355	7114
160	1362	7097
161	1368	7081
162	1376	7066
163	1383	7052
164	1397	7070
165	1408	7076
166	1417	7071
167	1426	7065
168	1434	7055
169	1442	7042
170	1455	7056
171	1466	7057
172	1476	7059
173	1487	7060
174	1499	7067
175	1508	7063
176	1517	7056
177	1527	7051
178	1536	7046
179	1544	7037
180	1554	7032
181	1561	7018
182	1568	7004
183	1576	6992
184	1583	6977
185	1590	6962
186	1597	6946
187	1605	6932
188	1611	6915
189	1618	6898
190	1625	6883
191	1632	6868
192	1639	6853
193	1645	6835
194	1651	6817
195	1658	6801
196	1664	6784
197	1671	6770
198	1678	6754
199	1685	6742
200	1692	6729
201	1699	6715
202	1706	6701
203	1713	6686
204	1721	6674
205	1728	6662
206	1735	6649
207	1743	6637
208	1750	6626
209	1758	6614
210	1765	6602
211	1773	6590
212	1780	6577
213	1787	6565
214	1794	6551
215	1801	6538
216	1807	6523
217	1815	6511
218	1821	6497
219	1828	6483
220	1835	6471
221	1843	6459
222	1850	6448
223	1857	6434
224	1864	6421
225	1871	6410
226	1881	6406
227	1891	6405
228	1902	6403
229	1910	6397
230	1920	6393
231	1930	6389
232	1941	6391
233	1953	6394
234	1964	6395
235	1974	6390
236	1985	6391
237	1994	6385
238	2003	6378
239	2012	6371
240	2019	6361
241	2027	6350
242	2035	6339
243	2042	6328
244	2050	6319
245	2058	6309
246	2066	6298
247	2073	6287
248	2081	6276
249	2089	6267
250	2096	6256
251	2104	6246
252	2111	6234
253	2119	6225
254	2127	6216
255	2135	6207
256	2143	6196
257	2151	6188
258	2159	6179
259	2167	6169
260	2175	6159
261	2183	6149
262	2190	6138
263	2197	6126
264	2204	6113
265	2211	6103
266	2219	6092
267	2226	6080
268	2233	6068
269	2239	6056
270	2246	6042
271	2253	6030
272	2260	6020
273	2267	6008
274	2274	5996
275	2281	5985
276	2288	5974
277	2295	5962
278	2302	5949
279	2309	5938
280	2316	5927
281	2323	5916
282	2330	5904
283	2337	5892
284	2344	5881
285	2350	5868
286	2357	5856
287	2364	5844
288	2370	5831
289	2377	5821
290	2384	5809
291	2391	5797
292	2397	5785
293	2404	5774
294	2411	5763
295	2418	5751
296	2425	5742
297	2432	5730
298	2440	5720
299	2446	5709
300	2453	5698
301	2460	5686
302	2466	5674
303	2474	5664
304	2480	5653
305	2488	5643
306	2494	5632
307	2501	5620
308	2508	5610
309	2515	5598
310	2522	5588
311	2529	5577
312	2536	5566
313	2543	5556
314	2549	5544
315	2557	5535
316	2563	5524
317	2571	5514
318	2578	5503
319	2584	5493
320	2591	5481
321	2597	5470
322	2604	5459
323	2611	5448
324	2618	5437
325	2625	5427
326	2631	5415
327	2638	5406
328	2645	5395
329	2652	5385
330	2659	5375
331	2667	5367
332	2675	5358
333	2682	5349
334	2690	5340
335	2700	5336
336	2710	5333
337	2720	5327
338	2728	5320
339	2737	5314
340	2746	5308
341	2756	5302
342	2765	5297
343	2776	5294
